number,duration,params_learning_rate,params_max_depth,params_n_estimators
0,0 days 00:00:06.766342,0.2417391940386152,5,387
1,0 days 00:00:06.021133,0.036474706684991046,6,236
2,0 days 00:00:06.186045,0.014225815679453047,5,257
3,0 days 00:00:07.640934,0.315750841656055,5,340
4,0 days 00:00:08.639123,0.10712787234644368,5,515
5,0 days 00:00:07.291824,0.012222832982008552,3,848
6,0 days 00:00:02.429060,0.12405336609221962,2,238
7,0 days 00:00:06.801476,0.03143351081147288,6,229
8,0 days 00:00:07.820988,0.42591433363821773,4,468
9,0 days 00:00:02.916723,0.016001377609619748,2,291
10,0 days 00:00:10.425158,0.37545096457055166,6,520
11,0 days 00:00:09.685635,0.10583508724673048,6,452
12,0 days 00:00:13.693425,0.07898474036938723,6,625
13,0 days 00:00:10.280099,0.12682972000756032,4,854
14,0 days 00:00:04.979405,0.05377267067406087,4,365
15,0 days 00:00:05.887852,0.1045921951459205,3,607
16,0 days 00:00:04.322791,0.05577191106924445,4,293
17,0 days 00:00:05.889433,0.1200808224892378,4,430
18,0 days 00:00:02.574808,0.05349640803090974,2,365
19,0 days 00:00:06.078064,0.013174934597527993,3,526
20,0 days 00:00:21.171130,0.014218693601691644,6,993
21,0 days 00:00:07.537058,0.013964159390361141,6,279
22,0 days 00:00:04.468109,0.22342977568935987,3,447
23,0 days 00:00:08.156801,0.18724461779483756,3,929
24,0 days 00:00:06.599253,0.10332681287096733,6,296
25,0 days 00:00:10.683539,0.07651700670667125,5,501
26,0 days 00:00:08.223661,0.030103626962244393,3,801
27,0 days 00:00:15.637234,0.10251369056857987,6,744
28,0 days 00:00:02.561255,0.029865917978334242,2,358
29,0 days 00:00:06.706771,0.12357168768348685,6,294
30,0 days 00:00:05.259364,0.2710707561486773,4,406
31,0 days 00:00:03.757418,0.16177612541065944,2,466
32,0 days 00:00:15.325115,0.1270684664841994,5,899
33,0 days 00:00:03.402338,0.01967421788965314,2,354
34,0 days 00:00:11.528011,0.04527784942108609,6,653
35,0 days 00:00:17.546369,0.028430521220845457,5,999
36,0 days 00:00:13.104954,0.023826457393688504,6,592
37,0 days 00:00:10.095826,0.07738454114898916,5,578
38,0 days 00:00:02.356627,0.021120414448590873,2,208
39,0 days 00:00:16.309416,0.01948520532888833,5,908
40,0 days 00:00:05.368371,0.010069577086487713,4,328
41,0 days 00:00:02.264065,0.3568490092680101,2,241
42,0 days 00:00:06.531923,0.03604107071879325,4,533
43,0 days 00:00:04.748603,0.092077569652701,2,650
44,0 days 00:00:02.164159,0.09285807877562333,2,203
45,0 days 00:00:05.440186,0.2673397215843802,3,543
46,0 days 00:00:05.449428,0.04316801812713958,2,642
47,0 days 00:00:06.273088,0.013939308130323558,5,254
48,0 days 00:00:04.723350,0.027960784485909846,2,547
49,0 days 00:00:08.492046,0.015695368888195012,5,412
50,0 days 00:00:11.487478,0.07798838124838352,6,532
51,0 days 00:00:12.000819,0.010788388875043969,4,875
52,0 days 00:00:04.747337,0.039612105632469516,2,603
53,0 days 00:00:07.018516,0.11182410439260795,4,474
54,0 days 00:00:05.446406,0.14220023996989548,5,283
55,0 days 00:00:03.402025,0.07179345745117528,2,509
56,0 days 00:00:04.213334,0.08735300776762987,4,285
57,0 days 00:00:02.913322,0.025064648980183294,3,212
58,0 days 00:00:05.113097,0.017324119243335042,3,420
59,0 days 00:00:15.499819,0.011199008216163172,6,694
60,0 days 00:00:06.698382,0.04334507183255144,5,301
61,0 days 00:00:03.471647,0.11639349951124352,4,261
62,0 days 00:00:10.907195,0.04373822310069973,6,392
63,0 days 00:00:11.503475,0.3297677457408298,6,528
64,0 days 00:00:10.515011,0.012569728454876573,6,430
65,0 days 00:00:05.910629,0.09741301998724847,2,793
66,0 days 00:00:05.317484,0.1125361556094647,3,594
67,0 days 00:00:07.822158,0.013929339463455835,6,278
68,0 days 00:00:03.767679,0.01957153685930103,3,250
69,0 days 00:00:02.820632,0.07835069877383675,2,315
70,0 days 00:00:18.274919,0.4448140412840306,6,868
71,0 days 00:00:04.189998,0.1477565526267585,3,373
72,0 days 00:00:07.011779,0.038641120449193926,2,838
73,0 days 00:00:02.643917,0.012540723951065176,2,326
74,0 days 00:00:15.423896,0.023341285964581918,5,851
75,0 days 00:00:06.272525,0.22580617762724842,4,441
76,0 days 00:00:11.869279,0.08958273499049095,6,448
77,0 days 00:00:11.787294,0.32251562230321307,6,566
78,0 days 00:00:03.035505,0.20087267477226414,3,209
79,0 days 00:00:02.856084,0.0472328948051825,3,261
80,0 days 00:00:10.511248,0.19837658462744828,3,937
81,0 days 00:00:05.561100,0.10073959113766875,4,347
82,0 days 00:00:14.412272,0.24856488534745702,6,584
83,0 days 00:00:07.427591,0.028226583970511237,5,305
84,0 days 00:00:05.690035,0.026986848521665663,3,601
85,0 days 00:00:02.582587,0.03651979147079504,3,259
86,0 days 00:00:12.315788,0.2920877653312809,4,986
87,0 days 00:00:06.005501,0.24611804499623208,6,262
88,0 days 00:00:06.261915,0.11432410690028211,6,281
89,0 days 00:00:04.948590,0.18832964969196322,4,405
90,0 days 00:00:05.349783,0.08147541836073716,3,619
91,0 days 00:00:04.060114,0.05065206523566416,4,255
92,0 days 00:00:04.175516,0.26169046684848346,3,391
93,0 days 00:00:10.275624,0.012687307658836501,5,471
94,0 days 00:00:06.212973,0.012018541649131614,5,290
95,0 days 00:00:11.122465,0.22906080788444436,5,710
96,0 days 00:00:09.933650,0.016493469583627834,5,705
97,0 days 00:00:07.655152,0.013497111446040749,4,647
98,0 days 00:00:10.520486,0.06335580400206108,6,785
99,0 days 00:00:10.474709,0.048672172491286886,5,974
