,acc,roc,eq_loss,eod,spd
0,0.75,0.7013333333333333,0.2097434883915611,0.25,0.19999999999999996
1,0.67,0.7381275440976933,0.21060251909391847,0.13157894736842102,0.1607142857142857
2,0.72,0.6765873015873016,0.4317742209720271,0.0,0.0
3,0.65,0.7504340277777778,0.14649314136347835,0.1428571428571429,0.125
4,0.72,0.6153273809523809,0.2293571290737504,0.0,0.0
5,0.75,0.7562151192288178,0.4416164615791751,0.19117647058823528,0.125
6,0.73,0.7030755314337405,0.23972581432724138,0.14634146341463417,0.25
7,0.76,0.7026889903602231,0.5382802122463782,0.0,0.1428571428571429
8,0.7,0.5934919864011656,0.26106975117888154,0.15384615384615385,0.19999999999999996
9,0.67,0.749777183600713,0.2876694871945855,0.033333333333333326,0.0535714285714286
