number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
68,0 days 00:00:08.079915,0.006064642333871501,0.12135333905734784,5,0.21743987498043135,713
69,0 days 00:00:03.448312,0.01043480598492433,0.040729974679447924,2,0.023078184122745864,277
70,0 days 00:00:06.763623,0.3617481629853499,0.014626027546350331,4,0.0609898735752964,567
71,0 days 00:00:09.203729,0.04480788617682224,0.34675505807755463,6,0.0596444247435657,799
72,0 days 00:00:05.809178,0.18497764931852193,0.014324027399564714,5,0.029703661528807532,293
73,0 days 00:00:08.852055,0.05549073414914964,0.05848318816028024,3,0.008861637183854448,774
74,0 days 00:00:05.043367,0.009053610698361506,0.021988783594035975,6,0.24404270946545942,400
75,0 days 00:00:04.616519,0.018769931010693117,0.15199559546056018,4,0.09288190797706553,378
76,0 days 00:00:03.811394,0.008256688006502144,0.07688028714946116,2,0.025063694068591557,290
77,0 days 00:00:05.556242,0.16217592129604325,0.379054619969564,5,0.4800996238743638,410
78,0 days 00:00:04.043199,0.027282372169004795,0.03629627669267311,6,0.12509076266996547,299
79,0 days 00:00:08.220859,0.0050316314502107055,0.039409679928905296,6,0.01032202488713347,514
80,0 days 00:00:05.803245,0.2177460149590892,0.0786699501851889,5,0.40259538844187376,506
81,0 days 00:00:03.611266,0.3208466325736748,0.07461333521174889,3,0.14150533229059886,291
82,0 days 00:00:10.646184,0.09907384042487684,0.11429553672640193,2,0.012281433147453885,919
83,0 days 00:00:02.728341,0.029629556633525057,0.021102063804392186,2,0.16072650825432713,213
84,0 days 00:00:05.758862,0.10880244549964214,0.031101087456899254,4,0.009568581839872895,358
85,0 days 00:00:02.883457,0.027205623380787775,0.014660811861758438,3,0.08204798030747935,221
86,0 days 00:00:08.431613,0.0888036032009883,0.3750240223805204,5,0.01147880261566887,749
87,0 days 00:00:04.792962,0.07289790346855728,0.46104428338727316,5,0.014681544614190727,355
88,0 days 00:00:06.751754,0.0064794628043344646,0.05784401474083903,2,0.14042076326884928,602
89,0 days 00:00:03.836319,0.012531221009635152,0.12617137674885595,5,0.014165547444137429,274
90,0 days 00:00:08.603655,0.35689365206313567,0.2541725654634004,2,0.04387196453507013,856
91,0 days 00:00:06.834112,0.2757008573614199,0.3366797792553913,2,0.05846298500880592,548
92,0 days 00:00:09.217761,0.012659240565480977,0.013658252826652352,2,0.16641279841517778,948
93,0 days 00:00:06.923591,0.019674212217235015,0.051780983985206204,3,0.04905192816466493,708
94,0 days 00:00:08.836266,0.4685699256213432,0.11882291276139113,6,0.01803748302899082,981
95,0 days 00:00:04.884659,0.0060984721969746195,0.013367415254709726,4,0.013547711123471447,324
96,0 days 00:00:04.674068,0.28032711182900716,0.025857314290933794,3,0.08276076211498265,418
97,0 days 00:00:04.373725,0.019590787763469793,0.1671623915996729,3,0.046708195155725066,483
98,0 days 00:00:06.026655,0.1087425914264633,0.20926815085987424,3,0.022754347212855335,889
99,0 days 00:00:03.330765,0.20503379331514837,0.04655686217998344,5,0.026768217381084723,316
