,acc,roc,eq_loss,eod,spd
0,0.56,0.7552,-0.48684458552318,-0.11789297658862874,-0.060763888888888895
1,0.64,0.5038444142921754,-0.0007761059809126003,0.07461240310077522,0.09722222222222221
2,0.77,0.8447420634920635,0.2982455240625225,-0.07407407407407407,-0.17095588235294112
3,0.67,0.75390625,0.3640793183153468,0.016908212560386437,0.1510051425899953
4,0.75,0.7529761904761906,-0.01289311226962675,0.08909090909090911,-0.01098901098901095
5,0.72,0.8203957382039575,-0.023537783796720835,-0.02323232323232327,-0.11622807017543868
6,0.76,0.8240615106286748,0.010950578448966908,-0.06462585034013602,-0.19869097709209915
7,0.77,0.8209030948756976,-0.1901020303958439,0.16764132553606237,0.19074333800841514
8,0.69,0.7251092763477416,0.17725904986721586,-0.06547619047619047,-0.09557109557109567
9,0.76,0.7927807486631016,-0.08989701073254308,-0.24615384615384617,-0.06801470588235292
