number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:25.791318,0.011615726201484393,0.006963064101505423,174,9,6.602714449257834
1,0 days 00:00:13.652690,0.06376842997331271,0.011880260539139865,226,2,462.64272914734687
2,0 days 00:00:15.181072,0.01754441732306942,3.0564527256091463,75,34,46.106946448975535
3,0 days 00:00:05.456836,0.013222424890119346,0.004128791305559992,25,10,25.229394698291998
4,0 days 00:00:32.939794,0.00242680334833084,0.003290370346885149,164,41,1.3503719236609184
5,0 days 00:00:50.023329,0.009987315206925144,992.6927690226718,201,58,0.0010541762086086677
6,0 days 00:00:13.690140,0.003534702183363351,0.003140842053238054,62,32,0.8683652474830781
7,0 days 00:00:46.833171,0.012572974110375787,39.31841133579524,284,24,0.25494250111887634
8,0 days 00:00:58.486367,0.016286668738610278,223.2105613640119,406,18,76.73140959744647
9,0 days 00:00:50.801362,0.0012025470712106277,226.08469376694185,494,8,7.052989445365997
10,0 days 00:00:26.414302,0.032742444659388616,8.0382791314422,107,61,2.6119958352144588
11,0 days 00:00:15.231113,0.001886650040301768,0.001633707087848068,76,31,1.8368297782200942
12,0 days 00:00:17.567989,0.0026743582210536332,0.001961111134595132,135,12,801.5531817884457
13,0 days 00:00:51.432709,0.009486064430330829,0.006374096874432876,244,47,0.09455218080791743
14,0 days 00:01:21.460529,0.0038638873937641783,821.5548436486237,457,32,0.02390814452600214
15,0 days 00:00:05.995093,0.001303907664952692,127.91658759424338,29,21,0.004668969229591723
16,0 days 00:00:23.955583,0.014372876850588186,296.00966359333125,108,45,0.20076795698594005
17,0 days 00:00:55.779675,0.002739321399631767,0.36225721319993043,223,41,1.249456341488494
18,0 days 00:01:20.691374,0.0059603904766021105,0.05583862133345178,364,57,253.13986036692702
19,0 days 00:01:02.101815,0.0010913708226597018,104.91989290510072,387,25,43.284966332890384
20,0 days 00:00:38.337233,0.0023890478677649203,243.03998427660105,173,54,14.55642909025637
21,0 days 00:00:19.290658,0.07012413693140676,0.18511889547841204,101,31,14.928644856391958
22,0 days 00:00:08.464159,0.00858891024653378,7.225690874743345,42,27,0.10605265519965136
23,0 days 00:01:06.437780,0.06005299711095647,0.0018873901498838693,496,23,663.4222641131524
24,0 days 00:00:29.222093,0.002739188751349265,44.77566248014438,174,13,145.33841680728898
25,0 days 00:00:17.417327,0.00788022129105085,34.34856173945764,89,31,19.268578790785078
26,0 days 00:00:08.816414,0.0163963571680898,0.39101816545908985,41,26,1.6578086182987473
27,0 days 00:00:41.487611,0.0012661059020265201,0.24915066931768357,364,11,813.529252071894
28,0 days 00:00:18.204859,0.002840885697298744,39.27025527310012,79,49,0.03260173670516522
29,0 days 00:01:21.804122,0.003632618431291414,0.7548468345793338,456,34,15.553306973118932
30,0 days 00:00:06.316647,0.058736253389516116,0.005114531961076843,23,37,215.563691361771
31,0 days 00:01:16.943709,0.002881775689760445,0.09174541092617007,345,61,510.15037875045795
32,0 days 00:00:11.371671,0.007111004487880267,0.0018923434632166912,124,3,32.603256588163106
33,0 days 00:00:05.486546,0.06097951145633588,499.5565838751411,75,2,85.71405353888271
34,0 days 00:00:03.504660,0.015193241058255345,45.31053979770559,23,3,0.2960971453809851
35,0 days 00:00:18.590430,0.05860414900980398,0.005148147679448597,115,21,0.11532563553264776
36,0 days 00:00:17.752143,0.039437733681265935,0.013568906137779923,70,62,32.38762795821549
37,0 days 00:00:17.089986,0.0011975677122422822,442.5891652629788,120,15,0.35585788872174584
38,0 days 00:00:59.100772,0.008172395147528412,0.05187123397733575,202,61,3.0652884229871216
39,0 days 00:00:40.259664,0.01196157187481839,0.0781635950192951,189,49,16.20417843340456
40,0 days 00:00:25.570795,0.0173267885874038,0.010281662071168587,129,36,0.0020136517188139103
41,0 days 00:00:25.743852,0.05106690066278553,0.014969646144843281,160,14,0.17844164445326405
42,0 days 00:00:07.705206,0.007052730191961138,0.062261089410830486,26,60,0.0023482445790369917
43,0 days 00:00:42.415996,0.0011776775760094665,0.05221111579494188,376,11,0.004111816432245808
44,0 days 00:00:21.841083,0.041334021326776424,187.28213672369867,89,56,236.322390162924
45,0 days 00:00:26.566015,0.01840751474957403,0.0484606980470477,191,16,1.0938932270629298
46,0 days 00:00:09.138209,0.019857267361645732,237.4416871972061,46,24,0.3352435794981121
47,0 days 00:00:38.317449,0.013262244634046396,36.47731613201105,159,60,0.9500022455220918
48,0 days 00:00:11.422793,0.056839184561622624,0.13855522171759205,56,33,0.5832460986219223
49,0 days 00:00:15.577062,0.01241780791312326,9.812411545185787,66,55,0.0017998716377250876
50,0 days 00:00:03.975455,0.003764383302823891,607.7105489667747,42,2,0.001594227966981327
51,0 days 00:01:18.460479,0.01640658373716425,293.09401053051005,283,57,0.020431790990740294
52,0 days 00:00:36.022528,0.021087253716073704,14.75432782851473,176,44,0.1731495490545781
53,0 days 00:01:09.599341,0.00390099367022785,729.6368205210254,452,23,10.343551574672984
54,0 days 00:01:17.079668,0.006981756142160276,0.08757061043435745,333,58,5.657448446332486
55,0 days 00:00:16.631392,0.013217806625844894,0.25123454930086275,70,46,0.46036753586346885
56,0 days 00:00:11.521293,0.002943204026214441,398.32601510694286,116,6,0.004027786957670153
57,0 days 00:00:26.564532,0.06461182209463177,0.04173678676018422,161,28,0.052417011621171065
58,0 days 00:00:32.788484,0.013068584737026996,0.04475244105636561,371,6,0.011563151738970774
59,0 days 00:00:15.714736,0.003866572347093303,0.1074734047009294,61,59,1.001390295851392
60,0 days 00:00:13.922826,0.0188720549297895,2.237325879355052,72,29,93.59024816422279
61,0 days 00:00:06.384156,0.0011792828772680098,0.03063657494689759,65,3,179.74922482353682
62,0 days 00:00:49.420310,0.047416962601710896,0.11444432137950335,243,52,37.06976812317917
63,0 days 00:00:14.382880,0.022013902593743653,10.865330609844294,103,12,461.23422184797994
64,0 days 00:00:36.452776,0.05971766559539118,0.8908562700369703,344,12,604.9196899515423
65,0 days 00:00:17.879107,0.052996540173051,0.6430590929311893,99,28,631.641135753117
66,0 days 00:00:03.837591,0.047741784203332964,9.954931184683879,24,4,8.75878957108663
67,0 days 00:00:35.824898,0.008552822526778685,0.0013023702986964935,178,40,0.019903717782123232
68,0 days 00:00:14.717515,0.005472400633525521,0.9202043460840706,45,53,0.0017762678665976745
69,0 days 00:00:24.010586,0.015136185711603729,0.07472564090206543,120,20,0.23761053253622114
70,0 days 00:00:05.744856,0.022028508190879804,116.75377609627627,28,17,94.56159397231788
71,0 days 00:00:07.615049,0.010006660236867472,4.075521501892385,40,19,0.025465731443784556
72,0 days 00:01:07.430373,0.03016977277080893,3.055903195467861,354,43,135.2695138396062
73,0 days 00:00:05.695991,0.023002362840242655,364.27029646708877,24,31,1.5712418151665277
74,0 days 00:00:06.564123,0.0014291297340706228,146.30762046094077,26,38,94.38534268252299
75,0 days 00:00:11.503093,0.09130624987227022,0.010442008625589114,66,22,0.3592761291605806
76,0 days 00:01:04.502312,0.0025578827502386985,4.356784336676485,372,31,6.956480759192994
77,0 days 00:00:29.291438,0.0165151352650086,12.639749380450285,164,28,8.781679382967742
