number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:39.313645,0.005069221269096495,0.12164772475698056,2,120.86427640508813,0.008820317178993453,225
1,0 days 00:00:09.523189,0.2491626938784225,0.02889156116532471,2,2037.9711139259923,0.011396615332748558,28
2,0 days 00:01:32.381129,0.28874985673639825,0.0018075475698271562,3,4.601488020942475,0.015583788386045896,350
3,0 days 00:01:00.892716,0.16275475132693887,0.3466838819297271,4,346.5864974734653,0.3368510264905804,359
4,0 days 00:00:44.223034,0.22260404207720144,0.14016803052892035,5,1395.2863459111259,0.005036236790246907,225
5,0 days 00:00:37.079490,0.08664767730303131,0.3305109612250861,9,145.789769719413,0.19153003701769158,233
6,0 days 00:00:18.503586,0.018233974482704557,0.022316528546589418,9,1089.6000632564073,0.09605771088360017,72
7,0 days 00:01:15.996507,0.005493510930724793,0.013286927989167897,7,6290.718634676784,0.361414170254522,416
8,0 days 00:00:14.409290,0.10653103542237106,0.01310421661812921,7,836.5361384974741,0.4719631132385724,33
9,0 days 00:00:14.537907,0.019644774677023916,0.05004574411054899,4,1.6202932854114211,0.051052278561399475,47
10,0 days 00:00:28.205447,0.3153606947821715,0.00415734461119043,2,24.499732060282902,0.01677579574448367,124
11,0 days 00:01:04.088060,0.012647387628160738,0.03071812603668692,2,3.9963360549175904,0.009565179628345775,390
12,0 days 00:00:35.697539,0.022124740564986343,0.11406744393336947,6,19.77718989376524,0.07617282412065157,230
13,0 days 00:01:09.944426,0.16333217353201712,0.023349548952393686,8,5643.589391417694,0.20739279259499288,416
14,0 days 00:00:15.936205,0.061331505898789516,0.023997367842220292,2,2113.165872728654,0.1389167330183436,71
15,0 days 00:00:08.442138,0.007065971722363969,0.007532346279195711,6,2.7187637987866498,0.025403228039636804,21
16,0 days 00:00:12.607659,0.055775878168124904,0.035598311848009344,5,7985.832343095332,0.0442910483183564,55
17,0 days 00:00:29.997968,0.0685744940188128,0.006821100028097035,3,1.8946180310717213,0.006671612505929154,117
18,0 days 00:00:10.395395,0.010929983156492693,0.0014447046777759187,4,12.155454313222013,0.006511625239353175,35
19,0 days 00:00:06.351280,0.4303514698327418,0.2785959621908385,4,9875.417220165527,0.37934996455187214,26
20,0 days 00:00:14.744766,0.21080651264458714,0.004592623632877821,3,154.2161940918378,0.008810306045384247,52
21,0 days 00:00:26.446501,0.07597011208657148,0.003178253386248747,4,2649.427145600763,0.026537057363420005,95
22,0 days 00:01:33.958139,0.015819489714476522,0.0010285352004521888,8,1695.163066590007,0.18458003698381573,270
23,0 days 00:00:14.584726,0.01384232331699017,0.3932912772576036,5,11.857485120874061,0.006358158385524771,62
24,0 days 00:01:05.343566,0.03461549385038043,0.027645500769106154,4,9855.510090912352,0.3011542064257677,408
25,0 days 00:01:03.940870,0.040140711718362414,0.004405013791116447,5,2676.964759422537,0.36480437601114923,291
26,0 days 00:00:13.186047,0.07352323106646377,0.008272758437061172,7,442.4043150323206,0.007912856147610352,39
27,0 days 00:00:10.349478,0.3057854552218778,0.0012008110786262988,5,28.910733881206838,0.02786310990775236,31
28,0 days 00:00:26.664041,0.02112114775650704,0.0019382314980801061,8,8593.418859365076,0.215744424359248,85
29,0 days 00:00:09.906429,0.15180091913063065,0.027088501883064043,4,2.884437873625333,0.20213191710953393,33
30,0 days 00:00:08.426710,0.008028129253939578,0.2668296787021552,2,1621.8212942210682,0.4584312949888679,41
31,0 days 00:00:08.956319,0.27393332147438304,0.03425045550189825,3,186.5835386016621,0.30981792456776275,30
32,0 days 00:00:56.502315,0.007100495952554129,0.046786389401112204,6,801.9492352486467,0.006430147442559255,294
33,0 days 00:02:07.608515,0.3446237696649625,0.006936888235827725,4,895.2236054946434,0.012729486694961463,498
34,0 days 00:01:07.338481,0.260508858386379,0.022986987237588897,7,9084.499670389438,0.3238882338800903,251
