,acc,roc,eq_loss,eod,spd
0,0.52,0.7610666666666667,1.6221101544575665,0.16666666666666669,0.35
1,0.8,0.7630031659882406,0.3337934513515962,0.07894736842105265,0.2142857142857143
2,0.78,0.8402777777777778,0.6294831015256611,0.2941176470588235,0.4838709677419355
3,0.68,0.7135416666666666,0.218233493636787,0.3571428571428571,0.48214285714285715
4,0.72,0.7584325396825397,0.2743166286808355,0.33333333333333337,0.2032786885245902
5,0.75,0.8158295281582952,0.6083559527644998,0.10924369747899154,0.25
6,0.76,0.8426051560379919,0.5602131678194451,0.25,0.3571428571428571
7,0.76,0.7787924911212583,1.1834481032829984,0.1407089151450054,0.4285714285714286
8,0.67,0.7421078193297718,0.6372729613579365,0.5384615384615384,0.6
9,0.73,0.8025846702317291,0.40571088375626685,0.6,0.6
