,acc,roc,eq_loss,eod,spd
0,0.63,0.7109333333333334,0.9277986746658176,0.32894736842105265,0.47741935483870973
1,0.72,0.7847127996381728,0.28525205701238754,0.3421052631578947,0.4464285714285714
2,0.76,0.8457341269841271,0.44071799176648735,0.2941176470588235,0.5
3,0.7,0.7747395833333333,0.29514447929526905,0.2857142857142857,0.375
4,0.75,0.7614087301587302,0.26388710954860845,0.33333333333333337,0.35
5,0.78,0.8310502283105022,0.43915503156888464,0.11274509803921573,0.275
6,0.71,0.8186341022161917,0.4057257878103887,0.10365853658536583,0.2686781609195402
7,0.69,0.7747336377473364,0.5303505232185949,0.3789473684210527,0.29810901001112344
8,0.65,0.6867411364740166,0.2617525925531048,0.33333333333333337,0.19999999999999996
9,0.79,0.7923351158645277,0.40306014716759775,0.33333333333333337,0.37037037037037035
