,acc,bal_acc,roc,eq_loss,eod,spd
0,0.79,0.7547619047619047,0.8328571428571429,0.7084286687660526,0.25,0.34615384615384615
1,0.79,0.6785714285714286,0.7395238095238095,0.3773727459023988,0.0625,0.33333333333333337
2,0.67,0.6023809523809525,0.7159523809523809,0.056293186070562884,0.33333333333333337,0.04824561403508776
3,0.77,0.6928571428571428,0.7409523809523809,0.8049734592552112,0.26086956521739135,0.34285714285714286
4,0.76,0.7238095238095238,0.8442857142857143,2.7693816193727,0.8823529411764706,0.7777777777777778
5,0.73,0.7119047619047618,0.8004761904761905,0.31095887236755115,0.4736842105263158,0.5757575757575757
6,0.7,0.6523809523809524,0.7157142857142857,1.7446391931834193,0.3023255813953488,0.12988650693568726
7,0.71,0.6976190476190476,0.7723809523809524,0.47279610454268106,0.2583333333333333,0.4166666666666667
8,0.72,0.6476190476190476,0.7804761904761905,0.38917510160563107,0.2272727272727273,0.2962962962962963
9,0.67,0.6880952380952381,0.7383333333333333,0.3974107183622465,0.35,0.2795698924731183
