acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.75,0.7452380952380953,0.8280952380952382,-0.2079288088727113,-0.009988901220865598,-0.033333333333333326,0.7547169811320755,0.7647058823529411,0.7597114317425083,0.6,0.6333333333333333,0.6166666666666667,0.6515837104072397,0.818534961154273,0.7350593357807564
0.62,0.6714285714285715,0.7371428571428571,-0.08743049608134701,-0.010000000000000009,0.003676470588235281,0.54,0.55,0.545,0.4375,0.4411764705882353,0.43933823529411764,0.65,0.6866666666666668,0.6683333333333334
0.69,0.730952380952381,0.7814285714285715,-0.05788528944898652,0.030000000000000027,-0.055633473585787796,0.62,0.65,0.635,0.45161290322580644,0.5072463768115942,0.47942964001870036,0.7047368421052631,0.7795454545454545,0.7421411483253588
0.72,0.7047619047619047,0.7814285714285715,-0.0513895959259022,-0.14160839160839156,-0.19354838709677424,0.6538461538461539,0.7954545454545454,0.7246503496503496,0.5,0.6935483870967742,0.5967741935483871,0.6755050505050505,0.7435897435897436,0.7095473970473971
0.76,0.7523809523809524,0.829047619047619,0.23689057586791473,-0.06623931623931623,-0.0882800608828006,0.7222222222222222,0.7884615384615384,0.7553418803418803,0.5555555555555556,0.6438356164383562,0.5996955859969559,0.75,0.7513736263736264,0.7506868131868132
0.65,0.6738095238095239,0.7523809523809524,-0.6337568391666438,0.23295454545454547,0.16602316602316597,0.45454545454545453,0.6875,0.5710227272727273,0.40540540540540543,0.5714285714285714,0.48841698841698844,0.5606060606060606,0.74375,0.6521780303030302
0.72,0.6857142857142857,0.7276190476190476,-0.15940602768139311,-0.10000000000000009,-0.06029106029106024,0.7,0.8,0.75,0.6153846153846154,0.6756756756756757,0.6455301455301455,0.6833333333333333,0.6916666666666667,0.6875
0.63,0.6404761904761904,0.7480952380952381,-0.04473829560111631,0.3034188034188034,0.2694063926940639,0.3888888888888889,0.6923076923076923,0.5405982905982906,0.3333333333333333,0.6027397260273972,0.46803652968036524,0.5833333333333334,0.6556776556776557,0.6195054945054945
0.72,0.6857142857142857,0.7533333333333333,-0.06825253052953167,-0.040000000000000036,-0.02524544179523136,0.76,0.8,0.78,0.6521739130434783,0.6774193548387096,0.664796633941094,0.6727272727272727,0.6957894736842105,0.6842583732057417
0.73,0.6738095238095239,0.8090476190476191,0.05510103561921886,0.04999999999999993,0.04628330995792429,0.8,0.85,0.825,0.6956521739130435,0.7419354838709677,0.7187938288920056,0.6522727272727272,0.6894736842105263,0.6708732057416268
