number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:12.032386,0.34814103519174655,0.286829535558088,6,0.9209225155490897,0.04819252856074295,778
1,0 days 00:00:13.218489,0.014135935551752304,0.4337446433452351,4,0.15414734761917095,0.13703835270362635,840
2,0 days 00:00:11.618884,0.088006675613855,0.03743052823734179,2,0.09202884691104547,0.00985990817477986,768
3,0 days 00:00:10.876175,0.21957734465394557,0.060819044671794366,2,78.17928805172366,0.002085542899565055,723
4,0 days 00:00:06.313995,0.002078369792133813,0.1944756315639371,2,0.8130157526376586,0.01897725205259459,474
5,0 days 00:00:04.029658,0.009384756816024655,0.016971945193564143,5,4.837164819928398,0.002534941707551361,283
6,0 days 00:00:13.608729,0.011981845126013869,0.14400986276508512,2,1.215262185250935,0.015119454912646654,913
7,0 days 00:00:14.475713,0.003256332587468534,0.12872571994414425,3,0.003136185566783563,0.0092606603417185,952
8,0 days 00:00:04.558080,0.02069209865653834,0.09305660617049122,2,0.03776954513878898,0.4651481971085716,359
9,0 days 00:00:08.021652,0.055660997918093674,0.4908899160252791,6,1.8363336182109014,0.013133134450042827,555
10,0 days 00:00:04.827865,0.09310837957239837,0.015400118196017266,6,0.01667738520656326,0.002360215405796636,258
11,0 days 00:00:09.329764,0.0738819393144927,0.010545272378749975,3,55.95710880572354,0.0657941282068993,580
12,0 days 00:00:06.920797,0.06524339610666338,0.4565494145842645,2,76.2600920346177,0.09891228303190569,425
13,0 days 00:00:14.031978,0.02771281180394389,0.040802367439955994,2,0.16164214549283493,0.07222305842897238,967
14,0 days 00:00:04.861036,0.3938289920376665,0.09125127286439653,5,39.01012409174263,0.023642421622859813,283
15,0 days 00:00:03.202488,0.0010667683314888564,0.029637086333578214,3,40.3448449894972,0.18769642741834697,228
16,0 days 00:00:04.278960,0.05748291778269796,0.020475599635995437,2,3.8162429990899693,0.0011331037165421558,318
17,0 days 00:00:03.496999,0.12918492513656113,0.09284629661071894,2,0.07063833657888613,0.006006054248386707,253
18,0 days 00:00:06.533702,0.052090163113703826,0.10135880520523331,2,0.01752934617105172,0.0040002822487485365,505
19,0 days 00:00:05.465577,0.002231545410294601,0.45979331689694625,6,2.5134939679528934,0.11753682865294678,412
20,0 days 00:00:11.470039,0.4417800353023779,0.09717737755525045,3,0.09605693041019524,0.07398130514493516,825
21,0 days 00:00:07.192697,0.015297056837602675,0.02464158799559249,6,1.9876598277046311,0.046789214496276384,471
22,0 days 00:00:04.855316,0.00741707758050522,0.13231681482665641,5,0.0012472858387603345,0.046559156646937064,324
23,0 days 00:00:03.269129,0.011538251106311891,0.014352926714870153,4,24.675215336857455,0.03085570908929587,236
24,0 days 00:00:04.346664,0.0026533327331316543,0.023763951929809148,6,69.95339977530097,0.0018302129576415341,335
25,0 days 00:00:09.614931,0.0019983919055737713,0.15699491637738452,5,28.814877331660835,0.30314889811793394,732
26,0 days 00:00:10.481003,0.0012962183088281512,0.3443256546819088,4,0.22194525772679316,0.023546596866535843,774
27,0 days 00:00:10.253319,0.050968542639990254,0.2352939143997988,3,0.004160063063358776,0.012559591247014144,783
28,0 days 00:00:04.793524,0.0014182877282140976,0.051724398958839145,3,81.82288704755756,0.009693107461224966,364
29,0 days 00:00:02.842345,0.15487156510304176,0.04088762960615523,3,19.011514361861384,0.0029055165314863956,203
30,0 days 00:00:04.913158,0.003258065387115645,0.02018127356022153,4,0.28037848481436434,0.017817234109318295,345
31,0 days 00:00:06.894580,0.03162852166264285,0.2144806251583585,2,1.0996749426476313,0.0013675627797139931,522
32,0 days 00:00:12.892750,0.04044812636651483,0.11043576473154801,6,0.015469066515012501,0.03909753088957568,899
33,0 days 00:00:05.816890,0.00464868022871191,0.022953297561624713,3,66.44293967352706,0.0038940183898451657,488
34,0 days 00:00:06.210105,0.005795213566496779,0.02434280563480538,6,4.98601952959404,0.0014342305304660026,440
35,0 days 00:00:07.579408,0.0034578888773166656,0.04383177358257157,3,0.036222582477640305,0.00116575462642006,613
36,0 days 00:00:05.078492,0.48979447190011405,0.08158907033988376,3,2.4943871898543493,0.4708635939739893,415
37,0 days 00:00:10.962203,0.00487144685813288,0.017105405646450522,2,0.19057815407464326,0.23953696836872043,860
38,0 days 00:00:06.480129,0.07708067883918876,0.25818225971097086,5,0.08266458139417844,0.2265989761879163,515
39,0 days 00:00:12.290569,0.004431217133292759,0.14723869511697593,4,0.008475780898297503,0.36051621822678254,926
40,0 days 00:00:03.906613,0.026016849978392126,0.42333120656035733,4,25.205076248725184,0.08328051033354165,331
41,0 days 00:00:06.897958,0.0036255563412790734,0.023177998277259474,2,4.489633426884462,0.15122894475297505,565
42,0 days 00:00:04.323956,0.12984426584880135,0.019822796883448162,6,2.3672096885528293,0.0177839609994221,312
43,0 days 00:00:03.207987,0.011663750298478014,0.06748278247091265,4,0.008248959684645696,0.34530082132710954,252
44,0 days 00:00:02.912030,0.17691442742076205,0.023412180543995315,4,5.43214308587286,0.0943668592730684,232
45,0 days 00:00:04.351063,0.0019993177735336595,0.025654341598491136,4,64.51814804569229,0.0011074983234412984,320
46,0 days 00:00:12.689344,0.0035066595319585823,0.1567532436949619,2,14.628186461919249,0.02415097052296229,975
47,0 days 00:00:10.759386,0.7668500736551157,0.03754238990674098,5,77.17483306124898,0.004220420654687051,819
48,0 days 00:00:05.982980,0.031219121398370988,0.15988291343708352,2,3.782733863284684,0.19028972200469013,437
49,0 days 00:00:12.712836,0.21942189088912642,0.2917685292303944,3,7.355802295776828,0.4555883121793185,959
50,0 days 00:00:04.551957,0.01926067469959606,0.049821159371367565,3,0.0010477086556273053,0.006365992671344989,308
51,0 days 00:00:03.978840,0.3859886658547967,0.01466340548585674,2,0.3602424708544474,0.42255234625994037,286
52,0 days 00:00:05.296207,0.01579416718998073,0.04077475507423193,4,8.797593447827008,0.006525780780475049,387
53,0 days 00:00:03.909985,0.15023914127799376,0.012324553070702439,6,0.014493414433187636,0.0010735996668407382,247
54,0 days 00:00:11.479688,0.10770490659177064,0.02665633784271261,5,0.03333574408120538,0.15392540788684253,828
55,0 days 00:00:06.384175,0.15175142855971294,0.2897681389584898,6,0.1266768727269215,0.005365459333639827,490
56,0 days 00:00:06.113049,0.02374344087617267,0.06745065894667106,6,0.9113302600520297,0.026053120484961473,430
57,0 days 00:00:04.447833,0.23207937002895027,0.02031281205671849,2,0.02615737947545696,0.0014237418567463254,368
58,0 days 00:00:09.152860,0.01322633181347477,0.027589965363840424,5,7.824867273296079,0.03854018455058788,698
59,0 days 00:00:03.736694,0.0013609334974844284,0.06043400175002273,6,0.07149307814630898,0.14408710050501705,274
60,0 days 00:00:10.780725,0.01752679291874462,0.06757624281034291,4,0.2225827555559791,0.0029506855947292396,827
61,0 days 00:00:05.552362,0.0406006030322793,0.07353656403746082,6,0.001502492036298628,0.0690331907706322,399
62,0 days 00:00:04.779397,0.0030172423957608324,0.01777346886039076,5,0.4967272516289773,0.002235012811312706,337
63,0 days 00:00:04.978553,0.023758109809770712,0.3151823567230518,3,0.5236363059086065,0.09005477164893684,417
