,pr_0,tpr_0,bal_acc_0,roc_0,pr_1,tpr_1,bal_acc_1,roc_1,tpr,bal_acc,roc
0,0.49584743155952016,0.923469387755102,0.8060763935693167,0.9115828233539123,0.17503059975520197,0.8306878306878307,0.8707072371432233,0.9441185624576628,0.9084687767322498,0.8417478436944349,0.9277894311331205
1,0.14457070707070707,0.7903225806451613,0.8658336794499053,0.9618483394096021,0.46894880339291123,0.9023397761953205,0.8085900779164695,0.9117574258512048,0.8845166809238666,0.8422852511185532,0.931446080620552
2,0.3881804043545879,0.8245614035087719,0.8123252253518927,0.9073523208786726,0.12762133013780708,0.7537688442211056,0.8554558506819814,0.9436382593238299,0.8125,0.837358719052745,0.926972127195246
3,0.4856356968215159,0.9111776447105788,0.8066901439411924,0.9129736122468719,0.1401985111662531,0.8012048192771084,0.8684447332900065,0.9515531003682781,0.8955479452054794,0.844302497898757,0.9315821899376263
4,0.496206373292868,0.9281437125748503,0.8103431166450352,0.9181625845561385,0.15607300188797987,0.7891566265060241,0.8534679829648883,0.9464498895088436,0.9083904109589042,0.8435924067711635,0.9329597482932008
5,0.4133252939403075,0.8524096385542169,0.8137532897639675,0.9113258289513071,0.1301850670070198,0.7456647398843931,0.8459313656380358,0.9452276892711124,0.8366124893071001,0.8379563119483011,0.9275140547591607
6,0.39151663106499845,0.8185443668993021,0.8076890699931867,0.9045879073421776,0.10765401369010578,0.6867469879518072,0.8229015994582076,0.9503900403836023,0.7998289136013687,0.8297933262488674,0.9254010341171147
7,0.4700960644561512,0.905337361530715,0.8143517604430657,0.9095914012230646,0.1550995775497888,0.8352272727272727,0.8804765668160334,0.9512844515376588,0.894781864841745,0.8494097749511551,0.9298472081025414
8,0.46213292117465227,0.8854886475814413,0.8081808674450861,0.9030432905087153,0.1334141904184354,0.8076923076923077,0.8723659127209027,0.9442376388960448,0.8751069289991446,0.8444175291025333,0.9248000442107518
9,0.14470443349753695,0.734375,0.8343662709497206,0.9391330598230914,0.46503067484662575,0.901740020470829,0.8117986129511394,0.9117400608206893,0.874251497005988,0.8390100015312578,0.9268404164560706
