,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.78,0.7761904761904762,0.8523809523809524,-0.3195649715387687,0.10543840177580466,0.07619047619047625,0.7058823529411765,0.8113207547169812,0.7586015538290789
1,0.57,0.6261904761904762,0.7061904761904763,-0.09758084395933508,0.19000000000000006,0.18933823529411764,0.35,0.54,0.445
2,0.62,0.6714285714285715,0.7316666666666667,0.033815103208789,0.010000000000000009,-0.02992052360916314,0.54,0.55,0.545
3,0.66,0.7,0.7776190476190477,-0.06218666378423793,-0.2202797202797202,-0.22241086587436337,0.46153846153846156,0.6818181818181818,0.5716783216783217
4,0.74,0.7,0.8395238095238095,0.08752928796885656,0.044871794871794934,0.1339421613394216,0.7884615384615384,0.8333333333333334,0.8108974358974359
5,0.63,0.6785714285714286,0.7804761904761904,-0.3646686452890904,0.21590909090909088,0.1994851994851995,0.4090909090909091,0.625,0.5170454545454546
6,0.65,0.6261904761904762,0.7014285714285715,-0.7054178155422617,0.019999999999999907,0.007276507276507305,0.68,0.7,0.69
7,0.58,0.6142857142857143,0.695,-0.06608721212126412,0.18803418803418798,0.12278031456113647,0.3888888888888889,0.5769230769230769,0.48290598290598286
8,0.68,0.7238095238095239,0.8157142857142857,-0.04043668628527064,-0.12,-0.05236091631603551,0.58,0.7,0.6399999999999999
9,0.77,0.6833333333333333,0.7928571428571428,0.07802770403590148,-0.07000000000000006,-0.06965871902758303,0.85,0.92,0.885
