,acc,roc,eq_loss,eod,spd
0,0.7,0.7474666666666667,0.5903205602594345,0.17105263157894735,0.3806451612903226
1,0.79,0.7403889642695614,1.2838002087896427,1.0,0.7714285714285715
2,0.78,0.8536706349206349,0.4139682545980334,0.2941176470588235,0.4838709677419355
3,0.7,0.7664930555555556,0.41794543289985286,0.5714285714285714,0.3463114754098361
4,0.74,0.7738095238095237,0.6217079601307223,0.26315789473684215,0.18333333333333335
5,0.73,0.8442415017757484,0.9677390387120011,0.2857142857142857,0.375
6,0.73,0.8312980551786521,0.38249177142805146,0.375,0.3988095238095238
7,0.74,0.7574835109081685,1.3645430618725434,0.08807733619763691,0.4285714285714286
8,0.62,0.7032540067994172,1.0816428218820775,0.1384615384615384,0.09999999999999998
9,0.74,0.7981283422459894,0.4773633908767779,0.42380952380952386,0.5092592592592593
