,acc,bal_acc,roc,eq_loss,eod,spd
0,0.72,0.6952380952380952,0.8228571428571428,-0.27467466499339577,0.1453940066592675,0.10476190476190472
1,0.73,0.7119047619047618,0.7485714285714284,-0.2313038797747129,0.010000000000000009,0.007352941176470562
2,0.75,0.6214285714285714,0.8061904761904761,-0.010529170730652293,0.010000000000000009,-0.0920991117344554
3,0.71,0.7071428571428571,0.7647619047619048,-0.23322016684076036,-0.21853146853146854,-0.23005093378607805
4,0.76,0.7619047619047619,0.8485714285714285,0.023427519138478903,0.10256410256410264,0.14205986808726534
5,0.7,0.7095238095238094,0.7785714285714285,-0.24335441794411555,0.20454545454545459,0.15958815958815958
6,0.67,0.6499999999999999,0.7038095238095239,-0.4018928810995342,0.14,0.11122661122661126
7,0.64,0.6761904761904762,0.7828571428571428,-0.05006749946070893,0.19017094017094016,0.15017757483510907
8,0.7,0.6142857142857143,0.7709523809523811,-0.05146622171600923,-0.030000000000000027,0.0729312762973352
9,0.48,0.5619047619047619,0.5523809523809523,0.056454490818706904,0.06,-0.043010752688172005
