,acc,bal_acc,roc,eq_loss,eod,spd
0,0.68,0.7333333333333334,0.7969047619047618,0.20439347610192993,0.8,0.75
1,0.63,0.6880952380952381,0.7352380952380952,0.3202901769905826,0.7,0.5714285714285714
2,0.66,0.5476190476190477,0.5726190476190476,13.136580746661465,0.41666666666666663,0.5
3,0.67,0.611904761904762,0.6666666666666666,0.5212934275036922,1.0,0.5
4,0.79,0.7642857142857142,0.866904761904762,0.2310509370238405,0.5,0.3125
5,0.3,0.5,0.5185714285714286,12.088531758347228,0.0,0.0
6,0.71,0.6785714285714286,0.7028571428571428,0.36555105314971714,0.46153846153846156,0.45833333333333337
7,0.63,0.6404761904761904,0.7204761904761905,0.35893003949718916,0.5357142857142857,0.3984962406015038
8,0.58,0.6142857142857143,0.6516666666666666,0.40536777991349204,0.7777777777777778,0.6157407407407407
9,0.69,0.6642857142857143,0.7654761904761904,0.5254586303354686,0.6,0.6666666666666667
