,acc,roc,eq_loss,eod,spd
0,0.68,0.7653333333333333,0.2873806028649225,0.3877551020408163,0.31612903225806455
1,0.6,0.7426503844414292,2.32092819819262,0.8,0.5
2,0.76,0.8273809523809524,0.458400913341133,0.47058823529411764,0.6129032258064516
3,0.72,0.7955729166666667,0.22591658579355783,0.2857142857142857,0.060109289617486295
4,0.75,0.7400793650793651,0.5125777699187998,0.33333333333333337,0.23606557377049187
5,0.73,0.8051750380517504,0.8287102535639275,0.12885154061624648,0.375
6,0.71,0.804161013116237,0.8675913154816121,0.20731707317073167,0.23809523809523808
7,0.7,0.7828513444951801,0.9342210241122807,0.4736842105263158,0.3349753694581281
8,0.62,0.659057795046139,0.32273062630124705,0.6153846153846154,0.5
9,0.74,0.7736185383244207,0.637040522871273,0.38095238095238093,0.4444444444444444
