number,duration,params_C,params_Kmin,params_alpha,params_max_iter,params_n_iterations
0,0 days 00:06:32.230384,0.006070404537327673,25,0.32707045240311927,10,25
1,0 days 00:13:22.457006,0.4544117180164128,48,0.398761261561682,10,47
2,0 days 00:13:03.650781,0.06494737187976272,45,0.18638887431232504,10,38
3,0 days 00:07:16.632246,0.8445425631707345,37,0.8264474591054338,10,18
4,0 days 00:07:01.159586,0.002001850600492594,25,0.22679827940255937,10,35
5,0 days 00:12:18.020950,0.01514886503993718,25,0.601925477022806,10,35
6,0 days 00:04:55.154212,435.84727055955364,15,0.17389264522919728,10,11
7,0 days 00:10:01.669610,955.0339534689266,25,0.19719835063664065,10,28
8,0 days 00:05:01.144836,1278.4742973563643,29,0.4632573528058165,10,13
9,0 days 00:06:09.065027,51.0691590096757,24,0.4079758594958791,10,15
