,acc,bal_acc,roc,eq_loss,eod,spd
0,0.71,0.7071428571428571,0.7980952380952382,-0.29105187522763926,-0.06659267480577136,-0.10952380952380947
1,0.62,0.6238095238095238,0.7123809523809523,-0.09591680181369033,0.16000000000000003,0.10477941176470584
2,0.63,0.6404761904761904,0.7102380952380952,0.028472328953565218,-0.020000000000000018,-0.06685366993922393
3,0.73,0.6738095238095239,0.7195238095238095,-0.006394401995984511,-0.2552447552447552,-0.2538200339558573
4,0.74,0.7571428571428571,0.840952380952381,0.0509637735439718,0.010683760683760646,-0.056823947234906136
5,0.68,0.6666666666666666,0.7159523809523809,-0.04188214985190608,-0.03977272727272729,0.051480051480051525
6,0.64,0.6190476190476191,0.699047619047619,-0.36586073877770897,0.18000000000000005,0.12474012474012475
7,0.73,0.7309523809523809,0.7780952380952382,-0.08168261185923115,0.3076923076923077,0.30086250634195844
8,0.72,0.7428571428571429,0.8080952380952381,-0.06554292770063463,-0.16000000000000003,-0.10565684899485739
9,0.69,0.6357142857142857,0.8014285714285715,0.042827730079293025,-0.030000000000000027,-0.0649836372136513
