,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.77,0.730952380952381,0.8276190476190476,-0.19948191360085143,-0.07103218645948939,-0.014285714285714235,0.8113207547169812,0.8823529411764706,0.8468368479467259
1,0.76,0.6761904761904762,0.719047619047619,-0.21605320082514679,0.050000000000000044,0.044117647058823484,0.85,0.9,0.875
2,0.7,0.7,0.7116666666666666,0.023687955534273497,0.0,-0.045815801776531107,0.7,0.7,0.7
3,0.62,0.6714285714285715,0.7528571428571428,-0.24292243115436896,-0.19055944055944057,-0.24278438030560268,0.4230769230769231,0.6136363636363636,0.5183566433566433
4,0.75,0.7071428571428571,0.8104761904761905,0.49981871884040074,-0.04914529914529908,0.01877219685438869,0.7777777777777778,0.8269230769230769,0.8023504273504274
5,0.63,0.6499999999999999,0.74,-0.2281026302714212,0.2121212121212121,0.20892320892320893,0.45454545454545453,0.6666666666666666,0.5606060606060606
6,0.67,0.6404761904761904,0.7195238095238095,-0.7140179629761809,0.26,0.18814968814968824,0.64,0.9,0.77
7,0.77,0.75,0.7790476190476191,-0.014005307541241074,0.10470085470085466,0.12937595129375945,0.7222222222222222,0.8269230769230769,0.7745726495726495
8,0.68,0.7333333333333334,0.770952380952381,-0.030095204562097022,0.0,0.012155212716222552,0.6,0.6,0.6
9,0.67,0.6785714285714286,0.7114285714285714,0.06600493905491667,-0.21999999999999997,-0.14258999532491817,0.5,0.72,0.61
