,pr_0,tpr_0,bal_acc_0,roc_0,pr_1,tpr_1,bal_acc_1,roc_1,tpr,bal_acc,roc
0,0.0,0.0,0.5,0.6986948217317487,0.0,0.0,0.5,0.6846675430706428,0.0,0.5,0.6997481108312342
1,0.0,0.0,0.5,0.5435700099304865,0.0,0.0,0.5,0.6436873156342183,0.0,0.5,0.582732028676613
2,0.0,0.0,0.5,0.6207546213375688,0.0,0.0,0.5,0.5842961386439647,0.0,0.5,0.5287386165471808
3,0.5670103092783505,0.7404580152671756,0.688614657857803,0.7389090473419369,0.5358649789029536,0.6492537313432836,0.6304521083900884,0.6841037530792637,0.7095959595959596,0.6692151577120902,0.719770558344178
4,0.0,0.0,0.5,0.546368911552664,0.0,0.0,0.5,0.6678210678210679,0.0,0.5,0.5707226107226107
5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5
6,0.0,0.0,0.5,0.5166543673688447,0.0,0.0,0.5,0.4731569583043243,0.0,0.5,0.4850971250971251
7,0.0,0.0,0.5,0.6276461646832017,0.0,0.0,0.5,0.5760200520337585,0.0,0.5,0.550881895881896
8,0.0,0.0,0.5,0.5064655172413793,0.0,0.0,0.5,0.4709413549706445,0.0,0.5,0.4365850815850815
9,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.4619966876213203,0.0,0.5,0.44367909867909866
