acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.74,0.7476190476190476,0.83,-0.6146410776266635,0.029966703662597016,0.01904761904761909,0.7058823529411765,0.7358490566037735,0.720865704772475,0.5666666666666667,0.5857142857142857,0.5761904761904761,0.660633484162896,0.8091009988901221,0.7348672415265091
0.58,0.6523809523809524,0.7247619047619047,-0.07835017131188338,0.24000000000000005,0.19117647058823528,0.3,0.54,0.42000000000000004,0.25,0.4411764705882353,0.34558823529411764,0.5666666666666667,0.6866666666666668,0.6266666666666667
0.65,0.730952380952381,0.7857142857142857,0.009459939931334649,-0.32,-0.2847124824684432,0.3,0.62,0.45999999999999996,0.1935483870967742,0.4782608695652174,0.33590462833099577,0.65,0.7573684210526316,0.7036842105263158
0.68,0.6857142857142857,0.7309523809523809,-0.0017819935695394529,-0.2727272727272727,-0.22410865874363328,0.5,0.7727272727272727,0.6363636363636364,0.42105263157894735,0.6451612903225806,0.5331069609507639,0.625,0.7196969696969697,0.6723484848484849
0.76,0.6857142857142857,0.8571428571428571,0.07167254601394407,-0.05128205128205121,0.07508878741755454,0.8333333333333334,0.8846153846153846,0.858974358974359,0.7397260273972602,0.8148148148148148,0.7772704211060375,0.5277777777777778,0.7518315018315018,0.6398046398046398
0.62,0.661904761904762,0.7785714285714285,-0.41463385225690796,0.21590909090909088,0.2153582153582153,0.4090909090909091,0.625,0.5170454545454546,0.32432432432432434,0.5396825396825397,0.432003432003432,0.6045454545454546,0.6791666666666667,0.6418560606060606
0.74,0.6714285714285715,0.6880952380952382,-0.035341055312736014,0.08000000000000007,0.09147609147609148,0.82,0.9,0.86,0.7162162162162162,0.8076923076923077,0.761954261954262,0.6599999999999999,0.7,0.6799999999999999
0.63,0.6785714285714286,0.7338095238095238,-0.0697117533678745,0.22649572649572652,0.1598173515981735,0.3888888888888889,0.6153846153846154,0.5021367521367521,0.3333333333333333,0.4931506849315068,0.41324200913242004,0.5833333333333334,0.7124542124542125,0.6478937728937729
0.7,0.6904761904761905,0.7819047619047619,-0.13973703057376918,-0.12,-0.06545114539504437,0.68,0.8,0.74,0.5797101449275363,0.6451612903225806,0.6124357176250584,0.6821052631578948,0.7181818181818183,0.7001435406698565
0.44,0.580952380952381,0.5809523809523809,0.037661839484971926,0.09999999999999998,0.06638616175783077,0.2,0.3,0.25,0.15942028985507245,0.22580645161290322,0.19261337073398782,0.5736842105263158,0.6045454545454545,0.5891148325358851
